Skill Vec,Domain of Interest
operatevoicepickingsystems developcomponentsseparationprocesses developplansrelatedtoclientdischarge detectproductdefects tendcompressionmouldingmachine,Academic Research
adviseonloansofartworkforexhibitions maintainmuseumrecords inspectmanufactureofrollingstock communicationdisorders cutwallpapertosize,Agriculture and Animal Husbandry
gaschromatography perforateprintedmedia demonstrateprofessionalpilatesattitude providelearningsupport specialiseinamusicalgenre,Textile Technology
audioeditingsoftware carryoutwork-relatedmeasurements developrecyclingprograms calculateproductioncosts maintainfarmequipment,Environmental Compliance
revisedraftsmadebymanagers processreservations performwarehousingoperations disassembleengines agefurnitureartificially,Metal Manufacturing
ayurvedamedicine microsystemtestprocedures preparefinancialstatements placedrywall participantobservation,Industrial Machinery Operation
operatepelletpress performtechnicallydemandingtasks coordinateactivitiesacrosshospitalityroomsdivision liftsafetylegislation undertakeprocedurestomeetuavflightrequirements,Technical Arts Support
maintenanceoperations consultteamoncreativeproject usedialect preparecoppergas-linespipes maintainedgebandingmachinery,Textile Technology
adviseonpollutionprevention designjobanalysistools assistwithfuneralplanning maintainworkstandards restorenaturalenvironmentafterdrillingproofs,Public Administration
processfruitsandvegetables wateringprinciples investigatesocialsecurityapplications inspectmaritimeoperations informonfiscalduties,Software Development
adaptlifestyleforsportsperformance considertheimpactofmaterialcharacteristicsonpipelineflows performwirewrapping adaptexistingdesignstochangedcircumstances operatefloorcleaningequipment,Textile Technology
definedatabasephysicalstructure rigautomatedlights repaircoquilledefects coordinateengineeringteams complywithtimbertradecodeofconduct,Electromechanics
managepsychotherapeuticrelationships conducttrainingonmonitoringandevaluationframeworks evaluationofpsychologicalperformance sellsouvenirs performpatientactivityanalyses,Academic Research
preparemealsforflights modelelectricalsystem providesupportinvesselmachinerysystems maintainbarcleanliness determinecrystallinestructure,Animal Control and Security
applyhypno-psychotherapy bakeconfections operateprecisionmachinery performnutritionanalysis publicrelations,Electromechanics
fasciatherapy prosthetic-orthoticexamination textiletrends manageethicsissuesinthefoodindustry anchorsusedinmaritimewatertransport,Mechanical Engineering
computerisedfeedingsystems publicrelations conductroutinebloodtesting integratemarketingstrategieswiththeglobalstrategy politicalcampaigning,Teaching
diagnosedisordersoftheurogenitalsystem educateonsustainabletourism heattransferprocesses overseemineplanningactivities liveanimalproducts,International Trade Compliance
investigateaircraftaccidents examinecostofantiquariangoods transferstoneblocks manufacturemalesuits distributecontrolsignals,Restoration and Craftsmanship
performsmallvesselsafetymeasures oncologichormonetherapy assembleautomotivebatteries restrainindividuals performbrandanalysis,Customer Service
operatefishcaptureequipment consultstudent'ssupportsystem establishdraftannualschedulesforvessels operatedronesincivilengineering adviseonlicencingprocedures,Logistics and Supply Chain
heatlacquermixture organiseresourcesforthevehicleshowroom db2 playmusicalinstruments adjustclayburninglevel,Production Quality Control
mountcontrolpanelcomponents assistpatientswithspecialneeds specialistnursingcare sendsummons measuresoftwareusability,Leather Processing
businessincubation therapeuticmassage supportbloodtransfusionservices assessshelflifeoffoodproducts installautomationcomponents,Environmental Compliance
operatepelletpress assesscleanlinessofareas escortvisitorstoplacesofinterest de-limbtrees operatestationarysteamengine,Logistics and Supply Chain
specialistnursingcare managestaff identifyrequirementsoftheworkintheartisticperformance workonunevensurfaces inspectaircraft'sbody,Mechanical Engineering
organisetreeplantations advisecustomersonusingconfectionaryproducts ictprocessqualitymodels operationaltacticsforemergencyresponses installairconditioningdevice,Metal Manufacturing
configureelectronicequipment sommelieractivities liaisewithsuppliersofsportingequipment compilereservoirperformanceplans supportathleteswiththemaintenanceoftheircondition,Software Development
typesofpotterymaterial manageradiologyinformationsystem liaisewithrailexperts tendcoldrollingmill reviewshipdocumentation,Electromechanics
databasemanagementsystems engagewithrailstakeholders monitorlarvaldevelopment blockchainterminology qualitystandardsapplicabletoaquacultureproducts,Teaching
designanartificiallightingsystem typesofplastic hybridcontrolsystems giveinterviewstomedia conductparticipatoryresearch,Electromechanics
studycrafttrends maintaincoreparts usemeasurementinstruments installinverter assessthefeasibilityofimplementingdevelopments,Industrial Machinery Operation
shippingindustry handlecaseevidence configureictsystem applynavyoperationprocedures developdigitalcontent,Agriculture and Animal Husbandry
copewithdecompression listenactivelytosportplayers determinetrainoperationalsafetyactions miningsectorpolicies recogniseindicatorsofproblembetting,Animal Control and Security
promoteorganisationalcommunication monitoruseofoutdoorequipment projectcommissioning performmetalwork ensureproperwaterstorage,Customer Service
providevictimassistance promotepsycho-socialeducation pestcontrolinplants operatealightingconsole forestconservation,Educational Administration
applyanimalhygienepractices wrapyarnaroundbobbins adjustictsystemcapacity operatehydrogenextractionequipment implementplansforthemanagementofsportsturfareas,Construction
paediatrics micromechatronicengineering schoolpsychology certifytheperformanceofveterinaryprocedures liaisewitharchitects,Customer Service
repaircraneequipment questioneddocumentexamination assemblevideotapefootage revisequalitycontrolsystemsdocumentation peformsmallvesseladministrativeduties,Commodity Trading
assessfelledtimbervolume buildjewellerymodels useinternetchat compiledrinksmenu coachteamonvisualmerchandising,Healthcare
mixgrainaccordingtorecipe formulateatreatmentplan studyhumansocieties providepetroleumengineeringsupport supervisepharmaceuticalstaff,Commodity Trading
assessdatacollectedtoimprovecommunityartsprogramme minesafetylegislation legalterminology definesetmaterials maintainequipmentfornon-alcoholicdrinks,Textile Technology
operateshipequipment workinamulticulturalenvironmentinhealthcare countmoney maintainriggingequipment cutkeys,Industrial Machinery Operation
performunderwaterinvestigations analysemilkcontroltestresults carryoutnurse-leddischarge tradeunionregulations recommendpetfoodselection,Financial Services
typesofpotterymaterial designutilityequipment managesalesteams recordarchaeologicalfinds developproductionline,Metal Manufacturing
manageofficeappliancerequirements reconstructprogramtheory ictprocessqualitymodels assemblecameras planpatientmenus,Commodity Trading
constructionproductregulation tradinglaw writehoroscopes securepremises createsetmodels,Environmental Compliance
participateinrabbinicalcourtproceedings integrateictdata integratecontentintooutputmedia representtheorganisation preparenoticestoairmenforairportterminalservices,Software Development
shapeclay dealwithchallengingpeople coordinateairportenvironmentalpolicies checkstabilityofmaterials hazardousmaterialstransportation,Academic Research
realestatemarket makedecisionsregardingplantpropagation adjustpaperstitchingmachine drivemetalsheetpiles attendtradefairs,Animal Control and Security
sellaudiovisualequipment conferwithlibrarycolleagues supportathleteswiththemaintenanceoftheircondition positionstraighteningrolls historyofhairstyles,Animal Control and Security
influenceofwindsandcurrentsinthesteeringofships workwithsupportingteamincommunityartsprogramme designsensors documentationconcerningmeatproduction determinereleasedate,Healthcare
ophthalmologicalexaminationmethods monitorequipmentcondition switchingdevices treatnails preparesurfaceforpainting,Financial Services
designjobanalysistools designgraphics identifydamagetobuildings readstandardblueprints developgrapegrowingtechniques,Production Quality Control
designbuildings processesperformedbytumbling interactwithhealthcaresuppliers reviewdrafts managemanufacturingfacilities,Leather Processing
critiqueotherwriters demandexcellencefromperformers worksafelywithpyrotechnicalmaterialsinaperformanceenvironment tendnibblingmachine determinecauseofdeath,Construction
manufactureprosthetic-orthoticdevices apl supervisesecurityatmannedaccessgates physico-chemicalpropertiesofcrustleather masterdiscmanufacturing,Restoration and Craftsmanship
testnitroglycerinmixture supervisevideoandmotionpictureeditingteam handleleaseagreementadministration adjustrotogravurepress designscientificequipment,Footwear and Leather Production
breedducks precisionmechanics callwitnesses carryoutpreventativeinternalmedicineinterventions ensurepointofsalematerialavailability,Production Quality Control
formulatedieteticintervention combinemultiplefieldsofknowledge europeanintegration adviseonarchitecturalmatters securegoods,Technical Support
determinecraneload witnessthesigningofdocuments preparerawmaterialsforman-madefibresmanufacturing servebeers applyspecialisedveterinaryknowledge,Software Development
positionv-beltsoncoveringmachine teachnursingprinciples treasurymanagementsystem learningneedsanalysis publishacademicresearch,Environmental Compliance
movetreatedwood reporttogamingmanager createbaseforproducts assessenvironmentalimpactinaquacultureoperations operatetowtruck,Mechanical Engineering
providepouringholesinmoulds systemdesign operateenvelopemachine planthestockingofproducts applylatestsportsciencefindings,Academic Research
fileclaimswithinsurancecompanies handlingofdangerousgoods ordersupplies operateradioequipment measurethehumanbodyforwearingapparel,Software Development
